Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides CRC1	Peptides CRC10	Peptides CRC2	Peptides CRC3	Peptides CRC4	Peptides CRC5	Peptides CRC6	Peptides CRC7	Peptides CRC8	Peptides CRC9	Peptides NMT1	Peptides NMT10	Peptides NMT2	Peptides NMT3	Peptides NMT4	Peptides NMT5	Peptides NMT6	Peptides NMT7	Peptides NMT8	Peptides NMT9	Razor + unique peptides CRC1	Razor + unique peptides CRC10	Razor + unique peptides CRC2	Razor + unique peptides CRC3	Razor + unique peptides CRC4	Razor + unique peptides CRC5	Razor + unique peptides CRC6	Razor + unique peptides CRC7	Razor + unique peptides CRC8	Razor + unique peptides CRC9	Razor + unique peptides NMT1	Razor + unique peptides NMT10	Razor + unique peptides NMT2	Razor + unique peptides NMT3	Razor + unique peptides NMT4	Razor + unique peptides NMT5	Razor + unique peptides NMT6	Razor + unique peptides NMT7	Razor + unique peptides NMT8	Razor + unique peptides NMT9	Unique peptides CRC1	Unique peptides CRC10	Unique peptides CRC2	Unique peptides CRC3	Unique peptides CRC4	Unique peptides CRC5	Unique peptides CRC6	Unique peptides CRC7	Unique peptides CRC8	Unique peptides CRC9	Unique peptides NMT1	Unique peptides NMT10	Unique peptides NMT2	Unique peptides NMT3	Unique peptides NMT4	Unique peptides NMT5	Unique peptides NMT6	Unique peptides NMT7	Unique peptides NMT8	Unique peptides NMT9	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type CRC1	Identification type CRC10	Identification type CRC2	Identification type CRC3	Identification type CRC4	Identification type CRC5	Identification type CRC6	Identification type CRC7	Identification type CRC8	Identification type CRC9	Identification type NMT1	Identification type NMT10	Identification type NMT2	Identification type NMT3	Identification type NMT4	Identification type NMT5	Identification type NMT6	Identification type NMT7	Identification type NMT8	Identification type NMT9	Sequence coverage CRC1 [%]	Sequence coverage CRC10 [%]	Sequence coverage CRC2 [%]	Sequence coverage CRC3 [%]	Sequence coverage CRC4 [%]	Sequence coverage CRC5 [%]	Sequence coverage CRC6 [%]	Sequence coverage CRC7 [%]	Sequence coverage CRC8 [%]	Sequence coverage CRC9 [%]	Sequence coverage NMT1 [%]	Sequence coverage NMT10 [%]	Sequence coverage NMT2 [%]	Sequence coverage NMT3 [%]	Sequence coverage NMT4 [%]	Sequence coverage NMT5 [%]	Sequence coverage NMT6 [%]	Sequence coverage NMT7 [%]	Sequence coverage NMT8 [%]	Sequence coverage NMT9 [%]	Intensity	Intensity CRC1	Intensity CRC10	Intensity CRC2	Intensity CRC3	Intensity CRC4	Intensity CRC5	Intensity CRC6	Intensity CRC7	Intensity CRC8	Intensity CRC9	Intensity NMT1	Intensity NMT10	Intensity NMT2	Intensity NMT3	Intensity NMT4	Intensity NMT5	Intensity NMT6	Intensity NMT7	Intensity NMT8	Intensity NMT9	iBAQ peptides	iBAQ	iBAQ CRC1	iBAQ CRC10	iBAQ CRC2	iBAQ CRC3	iBAQ CRC4	iBAQ CRC5	iBAQ CRC6	iBAQ CRC7	iBAQ CRC8	iBAQ CRC9	iBAQ NMT1	iBAQ NMT10	iBAQ NMT2	iBAQ NMT3	iBAQ NMT4	iBAQ NMT5	iBAQ NMT6	iBAQ NMT7	iBAQ NMT8	iBAQ NMT9	LFQ intensity CRC1	LFQ intensity CRC10	LFQ intensity CRC2	LFQ intensity CRC3	LFQ intensity CRC4	LFQ intensity CRC5	LFQ intensity CRC6	LFQ intensity CRC7	LFQ intensity CRC8	LFQ intensity CRC9	LFQ intensity NMT1	LFQ intensity NMT10	LFQ intensity NMT2	LFQ intensity NMT3	LFQ intensity NMT4	LFQ intensity NMT5	LFQ intensity NMT6	LFQ intensity NMT7	LFQ intensity NMT8	LFQ intensity NMT9	MS/MS count CRC1	MS/MS count CRC10	MS/MS count CRC2	MS/MS count CRC3	MS/MS count CRC4	MS/MS count CRC5	MS/MS count CRC6	MS/MS count CRC7	MS/MS count CRC8	MS/MS count CRC9	MS/MS count NMT1	MS/MS count NMT10	MS/MS count NMT2	MS/MS count NMT3	MS/MS count NMT4	MS/MS count NMT5	MS/MS count NMT6	MS/MS count NMT7	MS/MS count NMT8	MS/MS count NMT9	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions	Taxonomy IDs
O43488	O43488	1	1	1	Aflatoxin B1 aldehyde reductase member 2	AKR7A2	sp|O43488|ARK72_HUMAN Aflatoxin B1 aldehyde reductase member 2 OS=Homo sapiens OX=9606 GN=AKR7A2 PE=1 SV=3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3.1	3.1	3.1	39.589	359	359	1	-2											By MS/MS										0	0	0	0	0	0	0	0	0	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			10	100	True	101	421	248	248		4;5		6;10	9606
O43520	O43520	1	1	1	Phospholipid-transporting ATPase IC	ATP8B1	sp|O43520|AT8B1_HUMAN Phospholipid-transporting ATPase IC OS=Homo sapiens OX=9606 GN=ATP8B1 PE=1 SV=3	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1.3	1.3	1.3	143.69	1251	1251	0.0096154	0.18446	By matching		By matching								By matching		By matching	By MS/MS							1.3	0	1.3	0	0	0	0	0	0	0	1.3	0	1.3	1.3	0	0	0	0	0	0	312800	60021	0	50861	0	0	0	0	0	0	0	57547	0	59947	84423	0	0	0	0	0	0	49	6383.7	1224.9	0	1038	0	0	0	0	0	0	0	1174.4	0	1223.4	1722.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1				11	148	True	151	722;723;724;725;726	568	568					9606
O60282	O60282	1	1	1	Kinesin heavy chain isoform 5C	KIF5C	sp|O60282|KIF5C_HUMAN Kinesin heavy chain isoform 5C OS=Homo sapiens OX=9606 GN=KIF5C PE=1 SV=1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.7	0.7	0.7	109.49	957	957	0.02439	0.74758																		By MS/MS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1				12	46	True	47	221	152	152					9606
O60391	O60391	1	1	1	Glutamate receptor ionotropic, NMDA 3B	GRIN3B	sp|O60391|NMD3B_HUMAN Glutamate receptor ionotropic, NMDA 3B OS=Homo sapiens OX=9606 GN=GRIN3B PE=2 SV=2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1.5	1.5	1.5	112.99	1043	1043	1	-2												By matching					By MS/MS	By matching			0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			13	126	True	127	523;524;525	285	285		78		385	9606
Q16778;P62807;P57053;P06899;O60814	Q16778;P62807;P57053;P06899;O60814	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	Histone H2B type 2-E;Histone H2B type 1-C/E/F/G/I;Histone H2B type F-S;Histone H2B type 1-J;Histone H2B type 1-K	HIST2H2BE;HIST1H2BC;H2BFS;HIST1H2BJ;HIST1H2BK	sp|Q16778|H2B2E_HUMAN Histone H2B type 2-E OS=Homo sapiens OX=9606 GN=HIST2H2BE PE=1 SV=3;sp|P62807|H2B1C_HUMAN Histone H2B type 1-C/E/F/G/I OS=Homo sapiens OX=9606 GN=HIST1H2BC PE=1 SV=4;sp|P57053|H2BFS_HUMAN Histone H2B type F-S OS=Homo sapiens OX=9606 G	5	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	8.7	8.7	8.7	13.92	126	126;126;126;126;126	0.020833	0.6334	By matching				By matching							By matching					By MS/MS		By MS/MS	By MS/MS	8.7	0	0	0	8.7	0	0	0	0	0	0	8.7	0	0	0	0	8.7	0	8.7	8.7	1424500	83213	0	0	0	106770	0	0	0	0	0	0	231560	0	0	0	0	334460	0	353990	314550	7	203510	11888	0	0	0	15253	0	0	0	0	0	0	33080	0	0	0	0	47779	0	50570	44936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	3				14	116	True	117	486;487;488;489;490;491	267;268;269	267					9606;9606;9606;9606;9606
O60942	O60942	1	1	1	mRNA-capping enzyme;Polynucleotide 5-triphosphatase;mRNA guanylyltransferase	RNGTT	sp|O60942|MCE1_HUMAN mRNA-capping enzyme OS=Homo sapiens OX=9606 GN=RNGTT PE=1 SV=1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3.2	3.2	3.2	68.556	597	597	0.011236	0.27476																		By MS/MS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				15	18	True	18	93	81	81	0;1	6	335;346	338	9606
O75038	O75038	1	1	1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2	PLCH2	sp|O75038|PLCH2_HUMAN 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 OS=Homo sapiens OX=9606 GN=PLCH2 PE=2 SV=3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1.3	1.3	1.3	154.67	1416	1416	0.0083333	0.13803													By matching	By MS/MS							0	0	0	0	0	0	0	0	0	0	0	0	1.3	1.3	0	0	0	0	0	0	401930	0	0	0	0	0	0	0	0	0	0	0	0	177890	224050	0	0	0	0	0	0	70	5741.9	0	0	0	0	0	0	0	0	0	0	0	0	2541.2	3200.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1				16	15	True	15	80;81	72	72	2		859		9606
O75467	O75467	1	1	1	Zinc finger protein 324A	ZNF324	sp|O75467|Z324A_HUMAN Zinc finger protein 324A OS=Homo sapiens OX=9606 GN=ZNF324 PE=2 SV=1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2.9	2.9	2.9	61.103	553	553	0.021739	0.66765		By MS/MS								By MS/MS											0	2.9	0	0	0	0	0	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				17	33	True	33	164;165	130;131	131		79		504	9606
O75915	O75915	1	1	1	PRA1 family protein 3	ARL6IP5	sp|O75915|PRAF3_HUMAN PRA1 family protein 3 OS=Homo sapiens OX=9606 GN=ARL6IP5 PE=1 SV=1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	4.8	4.8	4.8	21.614	188	188	0.009009	0.16519												By matching					By matching	By MS/MS	By matching		0	0	0	0	0	0	0	0	0	0	0	4.8	0	0	0	0	4.8	4.8	4.8	0	539170	0	0	0	0	0	0	0	0	0	0	0	86788	0	0	0	0	92632	172450	187290	0	5	107830	0	0	0	0	0	0	0	0	0	0	0	17358	0	0	0	0	18526	34491	37459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1				18	95	True	96	404;405;406;407	240	240	3		1		9606
O76041	O76041	1	1	1	Nebulette	NEBL	sp|O76041|NEBL_HUMAN Nebulette OS=Homo sapiens OX=9606 GN=NEBL PE=1 SV=1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1.6	1.6	1.6	116.45	1014	1014	1	-2												By MS/MS					By matching	By matching			0	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0	0	1.6	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			19	51	True	52	241;242;243	158	158		7		502	9606
O94915	O94915	1	1	1	Protein furry homolog-like	FRYL	sp|O94915|FRYL_HUMAN Protein furry homolog-like OS=Homo sapiens OX=9606 GN=FRYL PE=1 SV=2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0.6	0.6	0.6	339.59	3013	3013	0.033333	1.2302												By MS/MS					By MS/MS	By MS/MS			0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0.6	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				20	62	True	63	284;285;286	180;181;182;183;184;185;186;187	186		8;9		1980;1981	9606
O94991	O94991	1	1	1	SLIT and NTRK-like protein 5	SLITRK5	sp|O94991|SLIK5_HUMAN SLIT and NTRK-like protein 5 OS=Homo sapiens OX=9606 GN=SLITRK5 PE=2 SV=2	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	2.3	2.3	2.3	107.48	958	958	0.0078125	0.1302							By matching					By matching					By MS/MS	By matching			0	0	0	0	0	0	2.3	0	0	0	0	2.3	0	0	0	0	2.3	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				21	109	True	110	454;455;456;457	257	257		143		932	9606
O95167	O95167	1	1	1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3	NDUFA3	sp|O95167|NDUA3_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 OS=Homo sapiens OX=9606 GN=NDUFA3 PE=1 SV=1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	10.7	10.7	10.7	9.2787	84	84	0.012987	0.365	By matching		By matching	By matching	By matching	By matching						By matching					By MS/MS	By matching	By MS/MS	By MS/MS	10.7	0	10.7	10.7	10.7	10.7	0	0	0	0	0	10.7	0	0	0	0	10.7	10.7	10.7	10.7	2684200	44642	0	44420	56827	42838	34024	0	0	0	0	0	325900	0	0	0	0	533960	548430	527020	526090	4	671040	11161	0	11105	14207	10710	8505.9	0	0	0	0	0	81474	0	0	0	0	133490	137110	131760	131520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	526090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2	7				22	1	True	1	4;5;6;7;8;9;10;11;12;13	4;5;6;7;8;9;10	9					9606
O95255	O95255	1	1	1	Multidrug resistance-associated protein 6	ABCC6	sp|O95255|MRP6_HUMAN Multidrug resistance-associated protein 6 OS=Homo sapiens OX=9606 GN=ABCC6 PE=1 SV=2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1.1	1.1	1.1	164.9	1503	1503	0.01087	0.25968													By matching	By MS/MS	By matching						0	0	0	0	0	0	0	0	0	0	0	0	1.1	1.1	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				23	19	True	19	94;95;96	82	82		10		250	9606
O95620	O95620	1	1	1	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like	DUS4L	sp|O95620|DUS4L_HUMAN tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like OS=Homo sapiens OX=9606 GN=DUS4L PE=2 SV=2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4.7	4.7	4.7	35.816	317	317	1	-2																				By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			24	98	True	99	415	245	245		11;80;81		3;8;9	9606
P00488	P00488	1	1	1	Coagulation factor XIII A chain	F13A1	sp|P00488|F13A_HUMAN Coagulation factor XIII A chain OS=Homo sapiens OX=9606 GN=F13A1 PE=1 SV=4	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	2.6	2.6	2.6	83.266	732	732	0.03125	1.1148												By MS/MS					By MS/MS	By MS/MS	By MS/MS	By matching	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0	2.6	2.6	2.6	2.6	2923000	0	0	0	0	0	0	0	0	0	0	0	368850	0	0	0	0	637580	619320	651310	645970	37	79001	0	0	0	0	0	0	0	0	0	0	0	9969	0	0	0	0	17232	16738	17603	17459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	645970	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	1	2	0	9				25	147	True	150	717;718;719;720;721	559;560;561;562;563;564;565;566;567	564	4		521		9606
P01042	P01042	1	1	1	Kininogen-1;Kininogen-1 heavy chain;T-kinin;Bradykinin;Lysyl-bradykinin;Kininogen-1 light chain;Low molecular weight growth-promoting factor	KNG1	sp|P01042|KNG1_HUMAN Kininogen-1 OS=Homo sapiens OX=9606 GN=KNG1 PE=1 SV=2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1.9	1.9	1.9	71.957	644	644	0	5.0533												By matching					By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	1.9	1.9	1.9	1.9	1773500	0	0	0	0	0	0	0	0	0	0	0	191490	0	0	0	0	361350	372280	444180	404240	35	50673	0	0	0	0	0	0	0	0	0	0	0	5471	0	0	0	0	10324	10637	12691	11550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	4				26	17	True	17	88;89;90;91;92	76;77;78;79;80	77					9606
P02545	P02545	1	1	1	Prelamin-A/C;Lamin-A/C	LMNA	sp|P02545|LMNA_HUMAN Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	2.6	2.6	2.6	74.139	664	664	0.009901	0.19382												By matching	By matching				By matching	By MS/MS	By matching	By matching	0	0	0	0	0	0	0	0	0	0	0	2.6	2.6	0	0	0	2.6	2.6	2.6	2.6	1042900	0	0	0	0	0	0	0	0	0	0	0	145670	37016	0	0	0	181460	215200	244500	219020	41	25436	0	0	0	0	0	0	0	0	0	0	0	3553	902.82	0	0	0	4425.9	5248.7	5963.4	5341.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1				27	151	True	154	735;736;737;738;739;740	573	573					9606
P02741	P02741	1	1	1	C-reactive protein;C-reactive protein(1-205)	CRP	sp|P02741|CRP_HUMAN C-reactive protein OS=Homo sapiens OX=9606 GN=CRP PE=1 SV=1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	8	8	8	25.038	224	224	0.015625	0.41723												By MS/MS					By matching		By matching	By matching	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	8	0	8	8	6001800	0	0	0	0	0	0	0	0	0	0	0	1052500	0	0	0	0	1635800	0	1887700	1426000	6	1000300	0	0	0	0	0	0	0	0	0	0	0	175410	0	0	0	0	272630	0	314610	237660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1426000	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1				28	34	True	34	166;167;168;169	132	132					9606
P04114	P04114	1	1	1	Apolipoprotein B-100;Apolipoprotein B-48	APOB	sp|P04114|APOB_HUMAN Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=2	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.4	0.4	515.6	4563	4563	0.0125	0.313	By matching		By matching	By MS/MS	By MS/MS																0.4	0	0.4	0.4	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3099400	784390	0	889780	662240	763000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	12348	3125	0	3545	2638.4	3039.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	763000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2				29	63	True	64	287;288;289;290	188;189	189					9606
